magnitude,depth,distance,vs30,azimuth,mmi,event_id
4.3,10.9,181.2581873553167,290.1,184.74743811131424,3.0,us6000sn3a
4.3,10.9,74.95877390047123,307.8,235.55570445268535,3.4,us6000sn3a
4.3,10.9,209.19549832489884,255.4,142.0757375316134,2.8,us6000sn3a
4.3,10.9,93.61775617749669,432.4,13.910576061962388,3.2,us6000sn3a
4.3,10.9,125.29540165438985,254.0,81.54555447975042,3.2,us6000sn3a
4.3,10.9,117.3269813491055,633.7,198.78081958610977,3.1,us6000sn3a
4.3,10.9,149.18084176823544,425.9,178.74814499587183,3.0,us6000sn3a
4.3,10.9,207.48302020358412,230.2,134.44771967855274,2.9,us6000sn3a
4.3,10.9,136.9178297060276,731.3,324.5690405738382,3.0,us6000sn3a
4.3,10.9,84.87957356833432,769.6,209.32398747342177,3.2,us6000sn3a
4.3,10.9,119.96386943609618,310.3,65.97883220740704,3.2,us6000sn3a
4.3,10.9,162.06099413200695,429.3,237.11353497274783,3.0,us6000sn3a
4.3,10.9,7.070273738537575,563.4,229.50934809566155,4.5,us6000sn3a
4.3,10.9,118.64185082248476,250.5,55.47178851282632,3.2,us6000sn3a
4.3,10.9,187.10662397037467,255.9,122.54641232100778,2.9,us6000sn3a
4.3,10.9,189.8074705853013,234.7,203.63769124296226,2.9,us6000sn3a
4.3,10.9,177.60235935881147,226.7,263.92803584945614,3.0,us6000sn3a
4.3,10.9,171.755974398607,289.0,58.362617615867805,3.0,us6000sn3a
4.3,10.9,204.38230717408612,486.5,201.89592956219218,2.8,us6000sn3a
4.3,10.9,17.102611790641813,456.1,267.0677138391813,4.2,us6000sn3a
4.3,10.9,131.11288840024096,266.5,246.161249311251,3.2,us6000sn3a
4.3,10.9,114.14558232758087,336.6,151.04792487918013,3.2,us6000sn3a
4.3,10.9,169.32428281450757,541.8,301.3964325843082,2.9,us6000sn3a
4.3,10.9,262.05840384985163,307.6,221.63658234696487,2.7,us6000sn3a
4.3,10.9,109.37408769619887,249.7,63.5531765121072,3.2,us6000sn3a
4.3,10.9,69.79511856839152,722.8,245.07769549626806,3.3,us6000sn3a
